Address,Beds,Baths,Area,Construction,Parking,Latitude,Longitude,cluster_label
"308 E 73rd St APT 3B, New York, NY 10021",1,1,0,0,0,40.7690528,-73.9573242,3
"210 E 73rd St #5F, New York, NY 10021",0,1,0,0,0,40.7698768,-73.9593105,3
"520 E 90th St APT 3E, New York, NY 10128",1,1,600,0,0,40.7779941,-73.9448189,3
"280 Rector Pl APT 5O, New York, NY 10280",1,1,631,0,0,40.7088551,-74.0166594,12
"415 E 85th St #12, New York, NY 10028",1,1,760,0,0,40.7760118,-73.9487947,3
"333 E 55th St APT 8J, New York, NY 10022",1,1,0,0,0,40.7575454,-73.9646234,3
"7 Park Ave APT 11F, New York, NY 10016",0,1,0,0,0,40.7471448,-73.9808403,12
"531 Main St #410, New York, NY 10044",1,2,0,0,0,40.7613925,-73.9505707,3
"70 Park Ter W APT E22, New York, NY 10034",2,1,950,0,0,40.8713893,-73.9170901,11
"150 Nassau St APT 6J, New York, NY 10038",0,1,331,0,0,40.7113887,-74.0059014,12
"157 Broome St APT 4D, New York, NY 10002",2,1,741,0,0,40.7165242,-73.9852345,12
"94 Hamilton Pl #A4, New York, NY 10031",3,1,0,0,0,40.8233183,-73.9504423,0
"240 E 35th St APT 9B, New York, NY 10016",1,1,0,0,0,40.7455479,-73.9761845,12
"501 W 122nd St APT E1, New York, NY 10027",2,1,700,0,0,40.8108573,-73.9585037,0
"475 Franklin D Roosevelt Dr APT L804, New York, NY 10002",1,1,800,0,0,40.719451,-74.010292,12
"166 E 92nd St APT 4E, New York, NY 10128",1,1,700,0,0,40.7827018,-73.9519471,3
"303 E 57th St APT 32C, New York, NY 10022",1,2,1100,0,0,40.759561,-73.9645409,3
"309 E 87th St APT 3L, New York, NY 10128",0,1,0,0,0,40.7783207,-73.9500044,3
"316 W 82nd St #1F, New York, NY 10024",1,1,685,0,0,40.7864122,-73.9806485,3
"280 Rector Pl APT 6D, New York, NY 10280",1,1,625,0,0,40.7088551,-74.0166594,12
"18 W 70th St APT 5G, New York, NY 10023",0,1,0,0,0,40.7750882,-73.977815,3
"100 W 15th St APT 3A, New York, NY 10011",0,1,0,0,0,40.7381129,-73.9967414,12
"321 E 54th St APT 2A, New York, NY 10022",0,1,0,0,0,40.7571717,-73.9656654,3
"77 Perry St APT 4B, New York, NY 10014",0,1,0,0,0,40.735561,-74.0044013,12
"116 W 72nd St APT 10B, New York, NY 10023",0,1,400,0,0,40.7774136,-73.9795144,3
"100 W 12th St APT 6A, New York, NY 10011",0,1,0,0,0,40.7360128,-73.9983713,12
"52 Riverside Dr APT 1A, New York, NY 10024",1,1,0,0,0,40.7840611,-73.9833786,3
"400 E 56th St APT 12A, New York, NY 10022",1,1,561,0,0,40.7570799,-73.9631038,3
"55 E 9th St APT 6B, New York, NY 10003",0,1,0,0,0,40.7317271,-73.9927744,12
"210 E 15th St #3LL, New York, NY 10003",1,1,0,0,0,40.733533,-73.986035,12
"23 E 10th St APT 5H, New York, NY 10003",1,1,0,0,0,40.7327402,-73.993435,12
"664 W 161st St #4A, New York, NY 10032",3,2,0,0,0,40.837397,-73.945029,0
"80 St Nicholas Ave #7G, New York, NY 10026",3,1,1100,0,0,40.800686,-73.952508,3
"29 W 119th St APT 3, New York, NY 10026",3,1,1000,0,0,40.8032187,-73.9459807,0
"250 E 54th St APT 16B, New York, NY 10022",0,1,400,0,0,40.7573196,-73.9671655,3
"100 W 12th St APT 4N, New York, NY 10011",0,1,670,0,0,40.7360128,-73.9983713,12
"233 E 69th St APT 2A, New York, NY 10021",1,1,0,0,0,40.7671834,-73.9602686,3
"142 Edgecombe Ave #2A, New York, NY 10030",2,1,740,0,0,40.820876,-73.945155,0
"32 Gramercy Park S APT 7E, New York, NY 10003",0,1,0,0,0,40.736984,-73.984841,12
"400 E 54th St APT 27D, New York, NY 10022",1,1,622,0,0,40.7560875,-73.9640348,3
"405 W 23rd St APT 2L, New York, NY 10011",0,1,550,0,0,40.7467841,-74.0016172,12
"11 E 87th St APT 2H, New York, NY 10128",1,1,0,0,0,40.7819492,-73.9587837,3
"25 Tudor City Pl APT 1704, New York, NY 10017",1,1,0,0,0,40.7486361,-73.9705046,12
"77 Fulton St APT 21A, New York, NY 10038",0,1,0,0,0,40.7090349,-74.0046918,12
"181 E 101st St PENTHOUSE 7, New York, NY 10029",0,1,418,0,0,40.7888462,-73.9478828,3
"205 E 78th St APT 5C, New York, NY 10075",1,1,0,0,0,40.7735187,-73.9573473,3
"88 Greenwich St APT 1108, New York, NY 10006",0,1,563,0,0,40.7079125,-74.0140734,12
"175 W 13th St APT 5H, New York, NY 10011",0,1,385,0,0,40.7378676,-73.9998268,12
"310 W 106th St #9C, New York, NY 10025",1,1,0,0,0,40.801634,-73.968734,3
"166 E 63rd St APT 15H, New York, NY 10065",0,1,528,0,0,40.7642282,-73.9654389,3
"161 E 110th St #6C, New York, NY 10029",1,1,648,0,0,40.794732,-73.944117,3
"417 Grand St APT 1501, New York, NY 10002",1,1,0,0,0,40.7153942,-73.9864326,12
"639 W End Ave #1C, New York, NY 10025",1,1,750,0,0,40.792174,-73.975558,3
"137 E 36th St #18D, New York, NY 10016",1,1,650,0,0,40.747684,-73.978788,12
"160 Bleecker St APT 2AE, New York, NY 10012",1,1,0,0,0,40.7284771,-73.9999878,12
"200 E 24th St APT 409, New York, NY 10010",1,1,0,0,0,40.7392286,-73.9824323,12
"106 Central Park S APT 9N, New York, NY 10019",0,1,513,0,0,40.765454,-73.976929,3
"504 Grand St APT H34, New York, NY 10002",1,1,750,0,0,40.7146288,-73.9818172,12
"330 W 145th St APT 309, New York, NY 10039",2,1,727,0,0,40.8204635,-73.9362163,0
"255 Cabrini Blvd APT 6K, New York, NY 10040",2,1,972,0,0,40.8556766,-73.9377283,0
"106 Central Park S APT 5N, New York, NY 10019",0,1,630,0,0,40.765454,-73.976929,3
"621 E 6th St APT 6, New York, NY 10009",1,1,550,0,0,40.7241509,-73.9803914,12
"362 W 127th St #1A, New York, NY 10027",0,1,0,0,0,40.811977,-73.951603,0
"100 Beekman St APT 19N, New York, NY 10038",1,1,668,0,0,40.7086059,-74.0033669,12
"100 La Salle St APT 11G, New York, NY 10027",2,1,950,0,0,40.8131263,-73.9593297,0
"411 W 44th St APT 23, New York, NY 10036",2,1,700,0,0,40.7602378,-73.9923442,12
"12 E 87th St #PENTHOUSE, New York, NY 10128",1,1,0,0,0,40.781978,-73.959655,3
"330 E 75th St APT 4H, New York, NY 10021",1,1,725,0,0,40.7698148,-73.9550863,3
"210 E 15th St #3LL, New York, NY 10003",1,1,0,0,0,40.733533,-73.986035,12
"215 E 24th St APT 114, New York, NY 10010",1,2,850,0,0,40.7391101,-73.9815226,12
"250 E 30th St APT 9F, New York, NY 10016",1,1,610,0,0,40.7423095,-73.9781109,12
"363 E 76th St APT 9M, New York, NY 10021",1,1,850,0,0,40.7706063,-73.9543643,3
"181 E 101st St #301, New York, NY 10029",1,1,652,0,0,40.7888462,-73.9478828,3
"150 W 51st St APT 919, New York, NY 10019",1,1,550,0,0,40.7614359,-73.982392,3
"350 W 50th St APT 2II, New York, NY 10019",0,1,597,0,0,40.7627443,-73.9878936,12
"30 W 90th St APT 9C, New York, NY 10024",1,1,580,0,0,40.7882952,-73.9690499,3
"111 4th Ave APT 8K, New York, NY 10003",0,1,500,0,0,40.7323782,-73.9897476,12
"250 S End Ave APT 2D, New York, NY 10280",1,1,782,0,0,40.7096469,-74.0162504,12
"20 E 35th St APT 5E, New York, NY 10016",1,1,804,0,0,40.7482362,-73.9822653,12
"40 W 67th St APT 1D, New York, NY 10023",1,1,650,0,0,40.7734301,-73.9797914,3
"142 Edgecombe Ave #2A, New York, NY 10030",2,1,740,0,0,40.820876,-73.945155,0
"78 W 85th St APT 6B, New York, NY 10024",1,1,640,0,0,40.7856318,-73.9725246,3
"142 W 82nd St APT 3, New York, NY 10024",1,2,650,0,0,40.7844002,-73.975747,3
"552 Riverside Dr APT 2D, New York, NY 10027",2,1,750,0,0,40.8163353,-73.9603157,0
"710 W End Ave #15F, New York, NY 10025",1,1,736,0,0,40.7942164,-73.9735937,3
"127 W 112th St #2A, New York, NY 10026",1,1,702,0,0,40.79995,-73.952499,3
"32 Gramercy Park S APT 11C, New York, NY 10003",0,1,0,0,0,40.736984,-73.984841,12
"130 W 16th St APT 41, New York, NY 10011",2,1,0,0,0,40.739115,-73.9974541,12
"504 Grand St APT D45, New York, NY 10002",1,1,825,0,0,40.7146288,-73.9818172,12
"310 Riverside Dr #2002/3, New York, NY 10025",1,2,0,0,0,40.800334,-73.97146,3
"39 E 12th St APT 701, New York, NY 10003",0,1,0,0,0,40.7336612,-73.9918641,12
"350 E 30th St APT 6M, New York, NY 10016",2,1,767,0,0,40.7413178,-73.9757407,12
"357 W 55th St APT 6G, New York, NY 10019",1,1,0,0,0,40.7664048,-73.9859046,3
"523 W 121st St #1, New York, NY 10027",2,1,0,0,0,40.810885,-73.960257,0
"165 Lexington Ave #2B, New York, NY 10016",0,1,432,0,0,40.744,-73.981409,12
"13 W 13th St APT 6HS, New York, NY 10011",1,1,0,0,0,40.735887,-73.9951789,12
"370 Convent Ave #4A, New York, NY 10031",2,1,921,0,0,40.825071,-73.946075,0
"415 E 52nd St APT 1EC, New York, NY 10022",1,1,0,0,0,40.7548953,-73.9641539,3
"104 W 70th St APT 5E, New York, NY 10023",0,1,424,0,0,40.7761529,-73.9801249,3
"36 W 35th St PENTHOUSE C, New York, NY 10001",1,1,0,0,0,40.7496711,-73.9859137,12
"400 W 58th St APT 4E, New York, NY 10019",1,1,750,0,0,40.7686274,-73.9855734,3
"315 E 68th St APT 10J, New York, NY 10021",1,1,0,0,0,40.6363263,-74.025232,5
"123 E 75th St APT 8-B, New York, NY 10021",1,1,0,0,0,40.7725647,-73.9609733,3
"215 W 91st St APT 5, New York, NY 10024",1,1,800,0,0,40.7913802,-73.9735473,3
"308 W 30th St APT 8A, New York, NY 10001",2,1,571,0,0,40.74979,-73.996115,12
"20 Pine St APT 712, New York, NY 10005",0,1,0,0,0,40.7077309,-74.0097165,12
"1619 3rd Ave APT 3J, New York, NY 10128",1,1,833,0,0,40.7816107,-73.9515643,3
"236 E 47th St APT 22B, New York, NY 10017",1,1,0,0,0,40.7530809,-73.9706821,3
"77 W 55th St #C7, New York, NY 10019",1,1,600,0,0,40.7629803,-73.9777616,3
"201 E 37th St APT 6D, New York, NY 10016",2,1,900,0,0,40.7476262,-73.976469,12
"150 W End Ave APT 25H, New York, NY 10023",1,1,850,0,0,40.776586,-73.9859919,3
"32 Gramercy Park S APT 11F, New York, NY 10003",1,1,0,0,0,40.736984,-73.984841,12
"111 Fulton St APT 417, New York, NY 10038",0,1,725,0,0,40.709902,-74.0068431,12
"360 E 88th St APT 6C, New York, NY 10128",1,2,730,0,0,40.7782758,-73.9490193,3
"181 E 101st St #603, New York, NY 10029",1,1,726,0,0,40.7888462,-73.9478828,3
"181 E 101st St #207, New York, NY 10029",2,2,701,0,0,40.7888462,-73.9478828,3
"200 Rector Pl APT 28G, New York, NY 10280",1,1,638,0,0,40.7084895,-74.0165122,12
