Address,Price
"152 E 118th St APT 4A, New York, NY 10035","375,000"
"130 Lenox Ave APT 206, New York, NY 10026","545,000"
"415 E 85th St #12, New York, NY 10028","575,000"
"17 Hubert St, New York, NY 10013","4,550,000"
"12 E 132nd St APT 4B, New York, NY 10037","315,000"
"70 Charlton St APT 16E, New York, NY 10014","4,900,000"
"1 Morton Sq #PHAE, New York, NY 10014","12,995,000"
"421 Hudson St APT 716, New York, NY 10014","1,750,000"
"250 W 90th St APT 5A, New York, NY 10024","1,695,000"
"120 E 36th St APT 2F, New York, NY 10016","525,000"
"621 E 6th St APT 6, New York, NY 10009","700,000"
"2440 Amsterdam Ave APT 3J, New York, NY 10033","310,000"
"175 W 93rd St APT 10F, New York, NY 10025","1,135,000"
"246 Spring St #1503, New York, NY 10013","480,000"
"350 W 42nd St APT 41G, New York, NY 10036","1,895,000"
"127 E 62nd St, New York, NY 10065","13,500,000"
"330 E 49th St APT 8G, New York, NY 10017","475,000"
"179 E 94th St #1, New York, NY 10128","4,795,000"
"740 Park Ave PH 17/18D, New York, NY 10021","29,950,000"
"2166 Broadway APT 22B, New York, NY 10024","650,000"
"353 W 56th St #4LM, New York, NY 10019","1,599,000"
"2109 Broadway APT 1231, New York, NY 10023","1,100,000"
"225 W 86th St APT 1001, New York, NY 10024","11,995,000"
"269 W 87th St #10C, New York, NY 10024","2,220,000"
"207 E 21st St APT 5A, New York, NY 10010","499,000"
"29 W 119th St #27, New York, NY 10026","450,000"
"18 E 63rd St APT 9, New York, NY 10065","499,000"
"303 W 66th St APT 11EE, New York, NY 10023","1,695,000"
"399 E 78th St APT 1A, New York, NY 10075","350,000"
"2134 2nd Ave APT 5D, New York, NY 10029","549,900"
"561 Broadway APT 11A, New York, NY 10012","4,500,000"
"11 5th Ave #14A, New York, NY 10003","1,950,000"
"453 W 140th St, New York, NY 10031","2,000,000"
"161 W 61st St APT 11E, New York, NY 10023","1,000,000"
"100 W 57th St APT 5R, New York, NY 10019","173,000"
"303 E 57th St APT 28B, New York, NY 10022","300,000"
"100 W 57th St #19M, New York, NY 10019","109,000"
"303 E 57th St APT 32B, New York, NY 10022","329,000"
"303 E 57th St #37DE, New York, NY 10022","495,000"
"303 E 57th St APT 6L, New York, NY 10022","375,000"
"12 E 63rd St, New York, NY 10065","61,000,000"
"432 Park Ave #PENTHOUSE, New York, NY 10022","169,000,000"
"206 E 7th St #19/20, New York, NY 10009","950,000"
"100 W 57th St APT 5R, New York, NY 10019","173,000"
"303 E 57th St APT 28B, New York, NY 10022","300,000"
"100 W 57th St #19M, New York, NY 10019","109,000"
"303 E 57th St APT 32B, New York, NY 10022","329,000"
"303 E 57th St #37DE, New York, NY 10022","495,000"
"303 E 57th St APT 6L, New York, NY 10022","375,000"
"12 E 63rd St, New York, NY 10065","61,000,000"
"432 Park Ave #PENTHOUSE, New York, NY 10022","169,000,000"
"206 E 7th St #19/20, New York, NY 10009","950,000"
"100 W 57th St APT 5R, New York, NY 10019","173,000"
"303 E 57th St APT 28B, New York, NY 10022","300,000"
"100 W 57th St #19M, New York, NY 10019","109,000"
"303 E 57th St APT 32B, New York, NY 10022","329,000"
"303 E 57th St #37DE, New York, NY 10022","495,000"
"303 E 57th St APT 6L, New York, NY 10022","375,000"
"12 E 63rd St, New York, NY 10065","61,000,000"
"432 Park Ave #PENTHOUSE, New York, NY 10022","169,000,000"
"206 E 7th St #19/20, New York, NY 10009","950,000"
"100 W 57th St APT 5R, New York, NY 10019","173,000"
